latitude,longitude,event_date,elevation,slope,aspect,curvature,landslide_type,state,region,source,landslide,rain_24h,rain_72h,rain_7d,rain_14d,rainfall_intensity,rain_ratio_72h_7d,terrain_ruggedness,aspect_sin,aspect_cos,historical_landslide_density,landcover,event_year
27.28073438539538,88.57053834258154,2017-07-15,1268.5740831,39.287769741,122.18128798,-30766613.556,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,4.2,13.4,184.6,543.8,0.31343283582089554,0.07258938244853738,49.84,0.846,-0.533,4,3,2017
27.25534523128074,88.63093819820688,2017-07-15,1967.7129313,30.884160572,229.92302619,-71851756.889,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,23.7,39.2,260.5,639.0,0.6045918367346939,0.15047984644913628,60.77,-0.765,-0.644,1,2,2017
27.30864166666666,88.66735833333334,2012-07-15,2048.8919406,29.478448656,161.29719374,35550114.222,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,120.6,181.6,325.0,712.7,0.6640969162995595,0.5587692307692308,60.4,0.321,-0.947,4,2,2012
27.26288611111112,88.59082222222222,2017-07-15,960.74382867,44.812948015,330.40676202,155506752.0,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,1.4,10.0,221.6,669.5,0.13999999999999999,0.04512635379061372,43.05,-0.494,0.87,5,3,2017
27.32809315135169,88.62380516376776,2017-07-15,1387.90743,29.063779619,85.423542447,5733764.0885,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,12.4,26.5,192.4,485.2,0.4679245283018868,0.13773388773388773,40.34,0.997,0.08,3,2,2017
27.35486944444445,88.66125833333334,2011-07-15,1768.0617405,45.85354699,169.09820048,69309522.667,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,29.5,141.0,242.1,510.1,0.20921985815602837,0.5824039653035936,81.07,0.189,-0.982,8,3,2011
27.35799166666667,88.66255833333334,2010-07-15,2040.2376573,43.408995734,171.08817546,-70626457.722,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,20.0,76.7,377.2,709.5,0.2607561929595828,0.2033404029692471,88.56,0.155,-0.988,7,3,2010
27.35724722222222,88.66389444444445,2010-07-15,1956.9753011,43.613314311,176.82611254,121028817.33,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,20.0,76.7,377.2,709.5,0.2607561929595828,0.2033404029692471,85.35,0.055,-0.998,7,3,2010
27.352625,88.65876111111112,2012-07-15,1615.1358236,46.212288751,144.40456814,-108701724.21999998,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,120.6,181.6,325.0,712.7,0.6640969162995595,0.5587692307692308,74.64,0.582,-0.813,8,3,2012
27.29975,88.69376111111112,2010-07-15,2585.0616591,33.49731085,261.59880405,-18752487.111,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,20.0,76.7,377.2,709.5,0.2607561929595828,0.2033404029692471,86.59,-0.989,-0.146,24,3,2010
27.38047000212643,88.68308427441023,2017-07-15,3324.0123155,25.217291832,215.55509271,195690694.22,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,23.3,48.9,215.2,446.8,0.47648261758691207,0.22723048327137546,83.82,-0.581,-0.814,11,3,2017
27.26688611111111,88.557125,2011-07-15,913.63579644,43.266841888,181.30348036,151673248.22,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,26.8,159.0,304.2,710.1,0.16855345911949687,0.5226824457593688,39.53,-0.023,-1.0,4,3,2011
27.26787777777778,88.5586111111111,2017-07-15,969.87653944,42.543979221,180.83039008,-39642329.583,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,1.4,10.0,221.6,669.5,0.13999999999999999,0.04512635379061372,41.26,-0.014,-1.0,4,3,2017
27.28628611111111,88.54847777777778,2011-07-15,1619.6388889,41.04445733,151.01867676,-22871114.625,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,26.8,159.0,304.2,710.1,0.16855345911949687,0.5226824457593688,66.48,0.485,-0.875,4,3,2011
27.25210683417693,88.68219186467816,2017-07-15,1958.2592638,31.961149851,98.072926839,41548876.778,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,30.2,50.5,267.5,559.8,0.598019801980198,0.18878504672897195,62.59,0.99,-0.14,4,2,2017
27.19174595343439,88.64391913232053,2017-07-15,1080.8549262,40.383285522,341.55588108,80084028.52799998,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,2.0,19.6,349.6,768.0,0.1020408163265306,0.05606407322654462,43.65,-0.316,0.949,0,3,2017
27.28974742811852,88.74852563526115,2011-07-15,2211.9814996,49.43006897,128.7672916,-157225937.78,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,29.5,141.0,242.1,510.1,0.20921985815602837,0.5824039653035936,109.34,0.78,-0.626,35,3,2011
27.26222246906145,88.73167796945613,2017-07-15,1854.3055284,35.547865126,271.40871006,-215077980.44,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,23.7,39.2,260.5,639.0,0.6045918367346939,0.15047984644913628,65.92,-1.0,0.025,21,3,2017
27.33162777777778,88.86180470109319,2017-07-15,4147.0401476,39.836405648,141.08329264,65133694.889,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,2.0,21.0,199.5,453.4,0.09523809523809523,0.10526315789473684,165.2,0.628,-0.778,17,3,2017
27.33007877526835,88.85977316426641,2017-07-15,4148.4135742,43.014732785,118.03019206,8586954.6667,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,2.0,21.0,199.5,453.4,0.09523809523809523,0.10526315789473684,178.44,0.883,-0.47,17,3,2017
